Month,Year,Region,Dengue_Cases,Dengue_Deaths
January,2016,Region I,705,1
February,2016,Region I,374,0
March,2016,Region I,276,0
April,2016,Region I,240,2
May,2016,Region I,243,1
June,2016,Region I,345,1
July,2016,Region I,1295,2
August,2016,Region I,1598,3
September,2016,Region I,1415,3
October,2016,Region I,1000,6
November,2016,Region I,555,1
December,2016,Region I,235,1
January,2017,Region I,285,0
February,2017,Region I,202,2
March,2017,Region I,151,1
April,2017,Region I,174,1
May,2017,Region I,179,0
June,2017,Region I,362,2
July,2017,Region I,1032,2
August,2017,Region I,1609,1
September,2017,Region I,1333,3
October,2017,Region I,1159,5
November,2017,Region I,865,3
December,2017,Region I,885,3
January,2018,Region I,699,6
February,2018,Region I,448,3
March,2018,Region I,235,1
April,2018,Region I,325,0
May,2018,Region I,334,0
June,2018,Region I,721,4
July,2018,Region I,3374,13
August,2018,Region I,3266,10
September,2018,Region I,2221,8
October,2018,Region I,1081,1
November,2018,Region I,1285,1
December,2018,Region I,1522,6
January,2019,Region I,596,2
February,2019,Region I,633,1
March,2019,Region I,399,0
April,2019,Region I,183,1
May,2019,Region I,197,1
June,2019,Region I,743,3
July,2019,Region I,2587,9
August,2019,Region I,4178,11
September,2019,Region I,4814,9
October,2019,Region I,2585,3
November,2019,Region I,2133,2
December,2019,Region I,819,0
January,2020,Region I,424,1
February,2020,Region I,442,2
March,2020,Region I,352,5
April,2020,Region I,46,2
May,2020,Region I,87,0
June,2020,Region I,186,2
July,2020,Region I,452,2
August,2020,Region I,1030,0
September,2020,Region I,1052,2
October,2020,Region I,807,1
November,2020,Region I,1212,0
December,2020,Region I,1081,1
January,2016,Region II,659,2
February,2016,Region II,408,2
March,2016,Region II,211,0
April,2016,Region II,138,0
May,2016,Region II,126,0
June,2016,Region II,126,1
July,2016,Region II,390,1
August,2016,Region II,754,0
September,2016,Region II,552,1
October,2016,Region II,292,3
November,2016,Region II,181,1
December,2016,Region II,54,0
January,2017,Region II,265,1
February,2017,Region II,112,1
March,2017,Region II,130,0
April,2017,Region II,112,2
May,2017,Region II,129,1
June,2017,Region II,260,0
July,2017,Region II,639,1
August,2017,Region II,819,7
September,2017,Region II,668,3
October,2017,Region II,990,12
November,2017,Region II,678,4
December,2017,Region II,508,2
January,2018,Region II,418,2
February,2018,Region II,267,0
March,2018,Region II,234,2
April,2018,Region II,238,1
May,2018,Region II,276,0
June,2018,Region II,573,3
July,2018,Region II,1516,4
August,2018,Region II,2518,6
September,2018,Region II,3698,12
October,2018,Region II,2921,10
November,2018,Region II,2522,5
December,2018,Region II,2497,17
January,2019,Region II,1797,18
February,2019,Region II,2136,3
March,2019,Region II,1355,2
April,2019,Region II,429,2
May,2019,Region II,486,3
June,2019,Region II,1171,3
July,2019,Region II,1922,15
August,2019,Region II,2446,12
September,2019,Region II,2152,11
October,2019,Region II,1202,3
November,2019,Region II,957,5
December,2019,Region II,581,0
January,2020,Region II,324,4
February,2020,Region II,436,0
March,2020,Region II,117,0
April,2020,Region II,18,0
May,2020,Region II,17,0
June,2020,Region II,30,0
July,2020,Region II,54,0
August,2020,Region II,108,2
September,2020,Region II,109,1
October,2020,Region II,158,2
November,2020,Region II,161,0
December,2020,Region II,96,0
January,2016,Region III,1976,3
February,2016,Region III,1748,5
March,2016,Region III,883,3
April,2016,Region III,549,0
May,2016,Region III,365,0
June,2016,Region III,363,0
July,2016,Region III,1701,5
August,2016,Region III,2877,8
September,2016,Region III,3194,12
October,2016,Region III,3155,11
November,2016,Region III,2207,13
December,2016,Region III,1971,5
January,2017,Region III,2301,6
February,2017,Region III,1264,9
March,2017,Region III,1006,3
April,2017,Region III,644,3
May,2017,Region III,430,2
June,2017,Region III,756,2
July,2017,Region III,3263,6
August,2017,Region III,4764,18
September,2017,Region III,3263,9
October,2017,Region III,2811,6
November,2017,Region III,2310,7
December,2017,Region III,2388,10
January,2018,Region III,2497,5
February,2018,Region III,1829,4
March,2018,Region III,1237,3
April,2018,Region III,724,1
May,2018,Region III,695,2
June,2018,Region III,1174,5
July,2018,Region III,4576,19
August,2018,Region III,5581,18
September,2018,Region III,5026,12
October,2018,Region III,3302,5
November,2018,Region III,2859,7
December,2018,Region III,2226,4
January,2019,Region III,1813,4
February,2019,Region III,1840,5
March,2019,Region III,1230,3
April,2019,Region III,460,1
May,2019,Region III,428,1
June,2019,Region III,1371,4
July,2019,Region III,2228,18
August,2019,Region III,6593,17
September,2019,Region III,9713,121
October,2019,Region III,5682,5
November,2019,Region III,3003,4
December,2019,Region III,2797,11
January,2020,Region III,2859,6
February,2020,Region III,3091,14
March,2020,Region III,1404,4
April,2020,Region III,207,0
May,2020,Region III,201,0
June,2020,Region III,280,3
July,2020,Region III,698,12
August,2020,Region III,1272,3
September,2020,Region III,1073,3
October,2020,Region III,1013,5
November,2020,Region III,1731,1
December,2020,Region III,2162,6
January,2016,Region IV-A,2993,14
February,2016,Region IV-A,2035,5
March,2016,Region IV-A,1327,9
April,2016,Region IV-A,838,1
May,2016,Region IV-A,714,1
June,2016,Region IV-A,778,4
July,2016,Region IV-A,2270,6
August,2016,Region IV-A,3218,2
September,2016,Region IV-A,3454,28
October,2016,Region IV-A,3175,20
November,2016,Region IV-A,2023,10
December,2016,Region IV-A,1457,8
January,2017,Region IV-A,1764,14
February,2017,Region IV-A,1243,5
March,2017,Region IV-A,927,2
April,2017,Region IV-A,647,0
May,2017,Region IV-A,435,1
June,2017,Region IV-A,815,5
July,2017,Region IV-A,2727,5
August,2017,Region IV-A,3121,17
September,2017,Region IV-A,2520,6
October,2017,Region IV-A,2759,20
November,2017,Region IV-A,2635,21
December,2017,Region IV-A,2828,14
January,2018,Region IV-A,2457,17
February,2018,Region IV-A,1975,9
March,2018,Region IV-A,1494,10
April,2018,Region IV-A,946,10
May,2018,Region IV-A,675,4
June,2018,Region IV-A,991,2
July,2018,Region IV-A,2793,17
August,2018,Region IV-A,3756,18
September,2018,Region IV-A,4697,31
October,2018,Region IV-A,3914,18
November,2018,Region IV-A,3575,16
December,2018,Region IV-A,3137,5
January,2019,Region IV-A,2157,6
February,2019,Region IV-A,3252,14
March,2019,Region IV-A,2252,13
April,2019,Region IV-A,892,3
May,2019,Region IV-A,909,9
June,2019,Region IV-A,2531,8
July,2019,Region IV-A,6365,21
August,2019,Region IV-A,15047,39
September,2019,Region IV-A,21658,48
October,2019,Region IV-A,10365,37
November,2019,Region IV-A,5899,23
December,2019,Region IV-A,4868,21
January,2020,Region IV-A,3175,11
February,2020,Region IV-A,2581,3
March,2020,Region IV-A,1504,6
April,2020,Region IV-A,151,0
May,2020,Region IV-A,77,1
June,2020,Region IV-A,105,0
July,2020,Region IV-A,212,0
August,2020,Region IV-A,291,1
September,2020,Region IV-A,231,4
October,2020,Region IV-A,325,2
November,2020,Region IV-A,542,3
December,2020,Region IV-A,527,4
January,2016,Region IV-B,203,1
February,2016,Region IV-B,219,0
March,2016,Region IV-B,211,1
April,2016,Region IV-B,181,2
May,2016,Region IV-B,203,5
June,2016,Region IV-B,263,0
July,2016,Region IV-B,735,2
August,2016,Region IV-B,778,3
September,2016,Region IV-B,469,2
October,2016,Region IV-B,388,1
November,2016,Region IV-B,214,1
December,2016,Region IV-B,135,0
January,2017,Region IV-B,243,0
February,2017,Region IV-B,255,0
March,2017,Region IV-B,147,0
April,2017,Region IV-B,69,1
May,2017,Region IV-B,94,0
June,2017,Region IV-B,232,0
July,2017,Region IV-B,393,1
August,2017,Region IV-B,412,1
September,2017,Region IV-B,286,2
October,2017,Region IV-B,247,5
November,2017,Region IV-B,203,1
December,2017,Region IV-B,189,1
January,2018,Region IV-B,214,1
February,2018,Region IV-B,277,2
March,2018,Region IV-B,203,2
April,2018,Region IV-B,198,2
May,2018,Region IV-B,238,1
June,2018,Region IV-B,471,2
July,2018,Region IV-B,1650,6
August,2018,Region IV-B,1489,17
September,2018,Region IV-B,1582,12
October,2018,Region IV-B,637,3
November,2018,Region IV-B,470,1
December,2018,Region IV-B,590,2
January,2019,Region IV-B,435,3
February,2019,Region IV-B,710,2
March,2019,Region IV-B,799,2
April,2019,Region IV-B,364,2
May,2019,Region IV-B,248,0
June,2019,Region IV-B,941,1
July,2019,Region IV-B,1628,2
August,2019,Region IV-B,2125,4
September,2019,Region IV-B,1995,4
October,2019,Region IV-B,710,4
November,2019,Region IV-B,616,2
December,2019,Region IV-B,413,0
January,2020,Region IV-B,320,0
February,2020,Region IV-B,607,2
March,2020,Region IV-B,537,2
April,2020,Region IV-B,77,0
May,2020,Region IV-B,111,0
June,2020,Region IV-B,196,0
July,2020,Region IV-B,467,0
August,2020,Region IV-B,1048,3
September,2020,Region IV-B,694,1
October,2020,Region IV-B,438,2
November,2020,Region IV-B,390,13
December,2020,Region IV-B,192,0
January,2016,Region V,237,0
February,2016,Region V,161,0
March,2016,Region V,118,2
April,2016,Region V,94,1
May,2016,Region V,96,0
June,2016,Region V,106,0
July,2016,Region V,248,2
August,2016,Region V,346,1
September,2016,Region V,378,7
October,2016,Region V,319,3
November,2016,Region V,242,0
December,2016,Region V,187,0
January,2017,Region V,232,1
February,2017,Region V,178,1
March,2017,Region V,111,0
April,2017,Region V,130,1
May,2017,Region V,66,1
June,2017,Region V,163,1
July,2017,Region V,373,1
August,2017,Region V,435,2
September,2017,Region V,367,2
October,2017,Region V,508,5
November,2017,Region V,323,6
December,2017,Region V,339,3
January,2018,Region V,297,3
February,2018,Region V,168,2
March,2018,Region V,157,0
April,2018,Region V,173,1
May,2018,Region V,136,1
June,2018,Region V,235,7
July,2018,Region V,408,3
August,2018,Region V,355,3
September,2018,Region V,397,6
October,2018,Region V,320,3
November,2018,Region V,355,3
December,2018,Region V,547,4
January,2019,Region V,342,2
February,2019,Region V,387,9
March,2019,Region V,436,7
April,2019,Region V,223,2
May,2019,Region V,205,3
June,2019,Region V,547,9
July,2019,Region V,1371,10
August,2019,Region V,2281,12
September,2019,Region V,2846,16
October,2019,Region V,1292,7
November,2019,Region V,648,4
December,2019,Region V,563,7
January,2020,Region V,404,2
February,2020,Region V,394,3
March,2020,Region V,335,5
April,2020,Region V,86,3
May,2020,Region V,74,0
June,2020,Region V,55,1
July,2020,Region V,47,1
August,2020,Region V,83,4
September,2020,Region V,60,0
October,2020,Region V,53,0
November,2020,Region V,61,1
December,2020,Region V,69,1
January,2016,Region VI,971,1
February,2016,Region VI,674,2
March,2016,Region VI,596,1
April,2016,Region VI,560,1
May,2016,Region VI,782,3
June,2016,Region VI,1137,4
July,2016,Region VI,4993,17
August,2016,Region VI,7155,22
September,2016,Region VI,5039,16
October,2016,Region VI,2562,12
November,2016,Region VI,1058,5
December,2016,Region VI,643,3
January,2017,Region VI,727,5
February,2017,Region VI,454,5
March,2017,Region VI,336,2
April,2017,Region VI,310,6
May,2017,Region VI,346,3
June,2017,Region VI,630,5
July,2017,Region VI,1577,12
August,2017,Region VI,2291,10
September,2017,Region VI,686,648
October,2017,Region VI,488,668
November,2017,Region VI,627,8
December,2017,Region VI,811,8
January,2018,Region VI,755,3
February,2018,Region VI,574,3
March,2018,Region VI,456,6
April,2018,Region VI,487,5
May,2018,Region VI,545,2
June,2018,Region VI,1017,13
July,2018,Region VI,2701,15
August,2018,Region VI,2639,16
September,2018,Region VI,2846,21
October,2018,Region VI,1903,9
November,2018,Region VI,1724,9
December,2018,Region VI,1935,7
January,2019,Region VI,1426,10
February,2019,Region VI,2003,8
March,2019,Region VI,2262,19
April,2019,Region VI,1199,7
May,2019,Region VI,1386,9
June,2019,Region VI,4859,31
July,2019,Region VI,13564,48
August,2019,Region VI,18090,54
September,2019,Region VI,9048,32
October,2019,Region VI,3475,8
November,2019,Region VI,1881,4
December,2019,Region VI,1164,3
January,2020,Region VI,660,0
February,2020,Region VI,784,1
March,2020,Region VI,630,2
April,2020,Region VI,167,0
May,2020,Region VI,138,1
June,2020,Region VI,272,1
July,2020,Region VI,388,2
August,2020,Region VI,473,4
September,2020,Region VI,169,2
October,2020,Region VI,115,1
November,2020,Region VI,197,2
December,2020,Region VI,138,0
January,2016,Region VII,1690,10
February,2016,Region VII,1175,7
March,2016,Region VII,1220,5
April,2016,Region VII,984,15
May,2016,Region VII,916,7
June,2016,Region VII,756,8
July,2016,Region VII,2473,20
August,2016,Region VII,4424,32
September,2016,Region VII,4458,31
October,2016,Region VII,4531,46
November,2016,Region VII,3771,36
December,2016,Region VII,2997,26
January,2017,Region VII,2750,28
February,2017,Region VII,1598,15
March,2017,Region VII,1058,11
April,2017,Region VII,750,16
May,2017,Region VII,537,3
June,2017,Region VII,718,6
July,2017,Region VII,1234,9
August,2017,Region VII,2647,10
September,2017,Region VII,2570,492
October,2017,Region VII,421,584
November,2017,Region VII,691,6
December,2017,Region VII,966,9
January,2018,Region VII,659,4
February,2018,Region VII,567,1
March,2018,Region VII,478,7
April,2018,Region VII,402,1
May,2018,Region VII,328,5
June,2018,Region VII,636,3
July,2018,Region VII,1539,6
August,2018,Region VII,2417,12
September,2018,Region VII,2830,5
October,2018,Region VII,3185,32
November,2018,Region VII,4123,29
December,2018,Region VII,4725,26
January,2019,Region VII,2461,17
February,2019,Region VII,2815,13
March,2019,Region VII,1831,9
April,2019,Region VII,571,4
May,2019,Region VII,535,6
June,2019,Region VII,1030,14
July,2019,Region VII,2124,14
August,2019,Region VII,3858,12
September,2019,Region VII,5534,16
October,2019,Region VII,3791,7
November,2019,Region VII,2823,15
December,2019,Region VII,3680,16
January,2020,Region VII,3389,8
February,2020,Region VII,3464,18
March,2020,Region VII,2119,6
April,2020,Region VII,578,2
May,2020,Region VII,290,3
June,2020,Region VII,252,2
July,2020,Region VII,355,3
August,2020,Region VII,626,5
September,2020,Region VII,473,4
October,2020,Region VII,350,0
November,2020,Region VII,303,3
December,2020,Region VII,207,0
January,2016,Region VIII,469,4
February,2016,Region VIII,376,1
March,2016,Region VIII,273,2
April,2016,Region VIII,217,0
May,2016,Region VIII,364,3
June,2016,Region VIII,426,11
July,2016,Region VIII,921,7
August,2016,Region VIII,839,7
September,2016,Region VIII,575,4
October,2016,Region VIII,421,0
